session_id,x,y,time,event_type,label
_3jl4u8afo,1325,469,821,move,human
_3jl4u8afo,1169,424,877,move,human
_3jl4u8afo,1094,475,933,move,human
_3jl4u8afo,1042,548,988,move,human
_3jl4u8afo,1027,580,1044,move,human
_3jl4u8afo,1024,583,1099,move,human
_3jl4u8afo,977,577,1155,move,human
_3jl4u8afo,869,543,1211,move,human
_3jl4u8afo,754,478,1266,move,human
_3jl4u8afo,637,396,1322,move,human
_3jl4u8afo,566,359,1378,move,human
_3jl4u8afo,514,332,1433,move,human
_3jl4u8afo,433,284,1489,move,human
_3jl4u8afo,304,185,1544,move,human
_3jl4u8afo,191,119,1600,move,human
_3jl4u8afo,135,89,1656,move,human
_3jl4u8afo,109,77,1751,move,human
_3jl4u8afo,105,71,1802,move,human
_3jl4u8afo,84,49,1857,move,human
_3jl4u8afo,52,31,1913,move,human
_3jl4u8afo,33,24,1968,move,human
_csfhxfubq,976,537,75,move,human
_csfhxfubq,969,541,131,move,human
_csfhxfubq,967,541,648,move,human
_csfhxfubq,918,432,701,move,human
_csfhxfubq,800,316,756,move,human
_csfhxfubq,693,237,812,move,human
_csfhxfubq,602,176,867,move,human
_csfhxfubq,481,137,923,move,human
_csfhxfubq,346,92,979,move,human
_csfhxfubq,243,58,1034,move,human
_csfhxfubq,188,43,1090,move,human
_csfhxfubq,137,22,1146,move,human
_csfhxfubq,108,15,1201,move,human
_csfhxfubq,98,15,1258,move,human
_csfhxfubq,82,16,1312,move,human
_csfhxfubq,43,13,1368,move,human
_9zwy5bx9s,737,600,139,move,human
_9zwy5bx9s,698,598,196,move,human
_9zwy5bx9s,557,558,252,move,human
_9zwy5bx9s,442,464,307,move,human
_9zwy5bx9s,317,337,363,move,human
_9zwy5bx9s,249,299,419,move,human
_9zwy5bx9s,210,253,474,move,human
_9zwy5bx9s,154,210,530,move,human
_9zwy5bx9s,106,160,585,move,human
_9zwy5bx9s,77,123,641,move,human
_9zwy5bx9s,59,82,698,move,human
_9zwy5bx9s,72,63,752,move,human
_9zwy5bx9s,81,46,808,move,human
_9zwy5bx9s,81,40,863,move,human
_9zwy5bx9s,63,30,919,move,human
_9zwy5bx9s,53,26,975,move,human
_9zwy5bx9s,46,22,1026,move,human
_n48tbqwoa,848,899,55,move,human
_n48tbqwoa,840,758,111,move,human
_n48tbqwoa,814,661,166,move,human
_n48tbqwoa,765,581,222,move,human
_n48tbqwoa,655,493,278,move,human
_n48tbqwoa,506,373,333,move,human
_n48tbqwoa,368,293,389,move,human
_n48tbqwoa,294,233,444,move,human
_n48tbqwoa,251,196,500,move,human
_n48tbqwoa,241,190,569,move,human
_n48tbqwoa,216,181,625,move,human
_n48tbqwoa,149,143,681,move,human
_n48tbqwoa,99,107,736,move,human
_n48tbqwoa,70,79,792,move,human
_n48tbqwoa,59,58,848,move,human
_n48tbqwoa,51,44,903,move,human
_n48tbqwoa,45,29,959,move,human
_n48tbqwoa,42,22,1023,move,human
_dofa2ylqi,214,892,57,move,human
_dofa2ylqi,164,755,112,move,human
_dofa2ylqi,103,577,168,move,human
_dofa2ylqi,68,517,224,move,human
_dofa2ylqi,50,457,279,move,human
_dofa2ylqi,59,401,335,move,human
_dofa2ylqi,62,342,390,move,human
_dofa2ylqi,50,288,446,move,human
_dofa2ylqi,26,246,502,move,human
_dofa2ylqi,11,204,557,move,human
_dofa2ylqi,0,173,609,move,human
_dofa2ylqi,0,84,867,move,human
_dofa2ylqi,8,68,919,move,human
_dofa2ylqi,18,54,974,move,human
_dofa2ylqi,29,42,1030,move,human
_dofa2ylqi,36,32,1087,move,human
_dofa2ylqi,39,27,1148,move,human
_ihzn7dv35,330,275,53,move,human
_ihzn7dv35,373,324,108,move,human
_ihzn7dv35,412,371,164,move,human
_ihzn7dv35,476,421,225,move,human
_ihzn7dv35,558,470,282,move,human
_ihzn7dv35,664,513,337,move,human
_ihzn7dv35,719,528,393,move,human
_ihzn7dv35,725,529,833,move,human
_ihzn7dv35,761,533,884,move,human
_ihzn7dv35,807,505,935,move,human
_ihzn7dv35,784,414,991,move,human
_ihzn7dv35,618,321,1046,move,human
_ihzn7dv35,459,281,1102,move,human
_ihzn7dv35,358,251,1158,move,human
_ihzn7dv35,286,214,1213,move,human
_ihzn7dv35,237,174,1269,move,human
_ihzn7dv35,177,129,1325,move,human
_ihzn7dv35,130,91,1380,move,human
_ihzn7dv35,82,59,1436,move,human
_ihzn7dv35,37,34,1491,move,human
_ihzn7dv35,3,16,1547,move,human
_ihzn7dv35,0,12,1752,move,human
_ihzn7dv35,8,17,1804,move,human
_ihzn7dv35,15,19,1917,move,human
_ihzn7dv35,16,19,2048,move,human
_ihzn7dv35,17,19,2152,move,human
_ihzn7dv35,23,19,2207,move,human
_ihzn7dv35,41,28,2263,move,human
_ihzn7dv35,73,44,2319,move,human
_ihzn7dv35,80,41,2374,move,human
_ihzn7dv35,59,18,2430,move,human
_ihzn7dv35,44,13,2485,move,human
_ihzn7dv35,40,13,2563,move,human
_gsn59mbfq,646,636,427,move,human
_gsn59mbfq,667,636,478,move,human
_gsn59mbfq,753,590,533,move,human
_gsn59mbfq,811,437,589,move,human
_gsn59mbfq,746,348,645,move,human
_gsn59mbfq,580,297,700,move,human
_gsn59mbfq,405,250,756,move,human
_gsn59mbfq,294,199,811,move,human
_gsn59mbfq,243,152,867,move,human
