vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
1386.709,118.644,4787.567,1495.148,1.078,0.975,5718.012,-20197.303,36877.186,13863.324,1174.55,1094.789,0.932,3,0.726,1.885,human,_aob3wcf0e
3246.728,0.0,12854.893,4566.671,1.407,1.0,38713.811,-38702.177,152705.922,69904.213,1506.782,1406.359,0.933,3,2.689,1.332,human,_auskjsf9z
441.053,16.335,858.094,245.733,0.557,0.981,246.04,-6925.728,8791.809,3421.748,1161.876,1052.063,0.905,2,0.126,1.911,human,_b089303gr
503.251,36.066,1168.877,359.733,0.715,0.969,-455.378,-6221.039,8049.289,3504.656,592.264,503.16,0.85,3,0.273,2.507,human,_b5u15dedo
354.621,4.246,1351.795,318.939,0.899,0.997,263.098,-18253.295,16712.301,4355.813,924.949,846.216,0.915,5,0.352,2.411,human,_b7psz3chc
563.967,34.611,3428.954,844.557,1.498,0.99,-973.664,-8580.769,5789.395,4047.127,985.692,885.755,0.899,2,0.201,2.023,human,_b9332kmwd
544.488,3.145,1701.766,467.186,0.858,0.998,313.24,-18044.714,11519.082,6714.966,549.837,461.854,0.84,3,0.3,2.339,human,_baiayr6dr
370.873,77.106,943.247,212.091,0.572,0.918,-91.031,-10179.51,5072.906,2916.636,578.811,576.585,0.996,0,0.008,2.845,human,_bicko1kk0
1670.382,10.695,6767.985,2111.697,1.264,0.998,-6115.828,-36959.695,25961.148,18033.012,1389.771,1271.17,0.915,2,0.164,2.342,human,_bixdb5ke0
1340.475,54.79,4897.319,1447.669,1.08,0.989,-2284.982,-32141.528,42980.43,16106.003,1216.031,1121.254,0.922,3,0.155,2.431,human,_bmye2cme1
1327.783,5.291,4277.609,1473.856,1.11,0.999,-956.563,-24772.31,26421.829,11916.038,1409.857,1218.238,0.864,2,0.527,2.245,human,_bpjuzl3oj
689.246,39.751,1670.635,519.598,0.754,0.976,348.581,-17077.673,26283.65,9750.509,1147.592,687.759,0.599,4,0.093,2.68,human,_brvskce2s
1433.886,39.93,3121.118,947.234,0.661,0.987,-3122.453,-29446.003,20679.806,11937.566,1302.782,1264.279,0.97,0,0.023,2.211,human,_btpinc6gr
2376.617,29.109,6668.394,2637.121,1.11,0.996,-8027.071,-47067.526,11421.61,16337.302,1718.628,1610.16,0.937,2,0.101,2.138,human,_bwvf4u301
782.303,33.88,1803.847,654.715,0.837,0.981,-3571.413,-25515.556,11310.832,10755.815,403.292,392.938,0.974,0,0.07,1.906,human,_byh7bajkr
1818.215,5.102,8166.808,2522.617,1.387,0.999,-7438.863,-70870.32,24114.886,22151.37,1696.974,1629.011,0.96,1,0.621,1.552,human,_c29vnz7t0
156.213,0.0,1005.933,174.42,1.117,1.0,618.899,-4590.528,17423.887,3406.531,542.533,381.243,0.703,6,0.27,0.881,human,_c3io58k9i
477.363,16.233,976.856,309.709,0.649,0.983,-550.296,-8768.802,12064.111,4589.893,595.142,491.874,0.826,3,0.201,2.467,human,_c7tn3zw7s
430.233,15.207,1308.492,286.99,0.667,0.988,-269.968,-7648.581,8316.3,2279.934,959.66,928.227,0.967,2,0.072,2.162,human,_ckeo3zpp6
1552.842,1.71,4084.136,1343.484,0.865,1.0,3210.496,-25684.828,50966.03,26026.252,1040.952,1023.04,0.983,2,0.291,1.972,human,_colam2aig
416.346,186.494,824.167,229.655,0.552,0.774,-647.885,-9026.484,4646.759,3990.146,193.792,193.215,0.997,0,0.01,1.748,human,_cp9ox99q9
1351.847,3.868,3008.528,991.973,0.734,0.999,1028.237,-17037.606,42471.446,14045.314,1122.637,1070.077,0.953,1,0.137,2.206,human,_csfhxfubq
779.019,25.0,2634.246,991.791,1.273,0.991,-4159.454,-12820.372,565.844,5170.93,534.757,521.5,0.975,1,0.345,1.242,human,_cwf6sf8yn
934.269,522.133,1483.36,301.174,0.322,0.648,-663.343,-8267.909,10382.536,5610.604,652.16,566.593,0.869,1,0.101,2.146,human,_cye1jmz2k
1098.83,24.044,3233.962,1064.232,0.969,0.993,-246.111,-16416.843,38004.471,12516.877,1040.058,1010.844,0.972,0,0.071,2.513,human,_d2twfjoop
476.292,19.608,1601.734,452.265,0.95,0.988,279.419,-15862.629,28282.125,8944.006,651.881,594.274,0.912,2,0.085,2.524,human,_d4lct3gmb
821.586,8.264,2915.731,800.997,0.975,0.997,-2472.207,-20909.664,20252.417,9201.957,883.757,868.451,0.983,0,0.026,2.428,human,_db5mq3tfg
332.516,9.479,905.678,230.035,0.692,0.99,41.654,-7843.674,9910.37,2859.084,1047.571,940.495,0.898,5,0.071,2.38,human,_deiyyrgf1
960.952,95.589,3360.039,859.35,0.894,0.972,-2780.752,-37850.747,12650.381,10045.567,921.492,882.525,0.958,0,0.056,2.616,human,_dofa2ylqi
2583.863,37.037,8705.06,2873.658,1.112,0.996,-5779.402,-59254.138,66187.759,37316.846,1769.501,139.807,0.079,2,0.824,1.673,human,_doj266qk9
520.842,73.627,1578.41,499.966,0.96,0.953,280.551,-6813.546,4830.861,3198.181,593.202,431.789,0.728,5,0.829,2.008,human,_dtumnctrj
934.229,12.5,3287.638,1028.435,1.101,0.996,2942.465,-45576.975,41954.105,19772.368,1485.612,964.571,0.649,11,1.125,2.582,human,_dx33slzcu
189.411,8.032,517.857,134.308,0.709,0.984,157.391,-5156.407,8771.259,2748.393,810.714,809.04,0.998,0,0.005,1.996,human,_e5ng6cf50
265.584,0.0,823.529,168.958,0.636,1.0,100.484,-10434.833,7736.979,3082.407,1144.206,855.748,0.748,2,0.036,1.439,human,_e6ueszqc0
778.524,4.592,2607.1,729.793,0.937,0.998,177.761,-19920.541,19682.453,8749.804,903.631,826.956,0.915,5,0.259,2.132,human,_eajp6gqxr
1341.09,61.685,3118.616,1066.309,0.795,0.98,1721.514,-22876.022,42786.997,17922.761,987.572,969.92,0.982,0,0.024,2.254,human,_ecxs08tpj
1849.737,15.974,5216.151,1913.445,1.034,0.997,-3524.24,-55411.464,21248.784,17771.547,1359.982,1299.623,0.956,1,0.052,2.254,human,_ehpthllm7
1093.82,39.837,2510.679,832.044,0.761,0.984,-996.591,-24170.208,24929.613,13497.177,917.165,903.398,0.985,1,0.043,2.245,human,_ek4pn9h0g
515.447,16.559,1652.665,433.024,0.84,0.99,620.859,-11588.159,12045.099,5013.86,811.327,706.208,0.87,3,0.133,2.342,human,_enj5xcfiw
2498.687,9.217,6882.324,2248.893,0.9,0.999,-5567.782,-73206.033,45468.065,33586.776,2083.348,172.047,0.083,4,0.395,2.107,human,_eyfw0wvm5
4019.104,191.468,14044.523,4705.832,1.171,0.986,-4255.027,-167462.102,241645.224,113470.745,2352.159,502.109,0.213,3,2.085,1.475,human,_fcr3huw47
809.633,92.163,3158.333,752.276,0.929,0.971,754.654,-31690.708,33791.691,11923.148,1123.844,990.329,0.881,2,0.109,2.487,human,_fdjosa1he
291.372,16.807,1392.102,265.319,0.911,0.988,-94.367,-6913.803,4381.317,2082.394,955.174,899.903,0.942,0,0.019,2.882,human,_fgf3agab7
406.621,7.19,1293.103,366.414,0.901,0.994,-386.924,-9845.189,10018.948,3573.468,668.108,592.623,0.887,5,0.238,1.881,human,_fq34s01fi
769.902,196.582,1721.118,418.403,0.543,0.886,-377.601,-7646.3,12238.524,5295.429,846.694,844.104,0.997,0,0.005,2.659,human,_frf423nb2
843.751,6.258,3124.926,913.608,1.083,0.998,-2353.008,-19921.638,15441.133,8800.959,924.12,821.457,0.889,4,0.426,2.245,human,_ftc6uhx4w
